Data,Estado,Mortos,Feridos,Total
28/10/2019,Maryland,1,3,4
27/10/2019,Michigan,0,4,4
27/10/2019,Michigan,1,4,5
27/10/2019,Texas,2,10,12
26/10/2019,New Jersey,0,4,4
24/10/2019,Oklahoma,2,2,4
22/10/2019,Oklahoma,1,3,4
21/10/2019,South Carolina,0,4,4
20/10/2019,Texas,1,3,4
19/10/2019,Pennsylvania,0,4,4
19/10/2019,Texas,1,3,4
15/10/2019,Oklahoma,2,2,4
15/10/2019,Ohio,0,4,4
14/10/2019,Puerto Rico,6,0,6
14/10/2019,Pennsylvania,3,1,4
13/10/2019,Ohio,0,4,4
13/10/2019,Pennsylvania,0,6,6
12/10/2019,New York,4,3,7
12/10/2019,Texas,0,4,4
12/10/2019,Maryland,1,3,4
12/10/2019,Illinois,5,0,5
12/10/2019,Michigan,1,5,6
10/10/2019,Pennsylvania,0,5,5
10/10/2019,Wisconsin,1,3,4
10/10/2019,Florida,2,2,4
09/10/2019,Maryland,1,3,4
07/10/2019,Massachusetts,5,0,5
06/10/2019,Colorado,0,4,4
06/10/2019,Kansas,4,5,9
06/10/2019,Indiana,0,5,5
05/10/2019,Oklahoma,4,0,4
03/10/2019,Missouri,1,3,4
03/10/2019,North Carolina,1,3,4
01/10/2019,Missouri,0,4,4
29/09/2019,Kansas,0,4,4
29/09/2019,Florida,0,4,4
29/09/2019,Wisconsin,0,4,4
29/09/2019,Illinois,1,3,4
29/09/2019,Texas,4,0,4
27/09/2019,Ohio,3,1,4
24/09/2019,Illinois,1,3,4
23/09/2019,Indiana,2,2,4
22/09/2019,Missouri,0,5,5
21/09/2019,Louisiana,0,4,4
21/09/2019,Indiana,0,6,6
21/09/2019,South Carolina,2,8,10
21/09/2019,Indiana,1,3,4
20/09/2019,Louisiana,1,5,6
19/09/2019,"Washington, D.C.",1,5,6
18/09/2019,Illinois,3,1,4
18/09/2019,California,2,2,4
16/09/2019,Wyoming,2,2,4
14/09/2019,Georgia,0,4,4
14/09/2019,Missouri,2,2,4
14/09/2019,California,1,4,5
13/09/2019,Ohio,0,4,4
12/09/2019,New Mexico,1,3,4
12/09/2019,New Mexico,4,2,6
10/09/2019,Illinois,0,4,4
08/09/2019,Louisiana,1,3,4
08/09/2019,South Carolina,2,3,5
07/09/2019,North Carolina,3,1,4
04/09/2019,Louisiana,2,2,4
04/09/2019,Florida,0,4,4
02/09/2019,Alabama,5,0,5
02/09/2019,Illinois,0,4,4
02/09/2019,North Carolina,2,2,4
01/09/2019,North Carolina,0,4,4
01/09/2019,Alabama,0,7,7
01/09/2019,Connecticut,0,4,4
01/09/2019,Ohio,0,4,4
31/08/2019,Texas,8,25,33
31/08/2019,North Carolina,1,3,4
31/08/2019,Maryland,0,4,4
30/08/2019,Alabama,0,10,10
30/08/2019,Maryland,1,3,4
29/08/2019,Maryland,1,3,4
26/08/2019,Florida,4,0,4
25/08/2019,Illinois,1,3,4
25/08/2019,New Mexico,3,4,7
24/08/2019,Massachusetts,1,3,4
24/08/2019,Florida,2,3,5
24/08/2019,Maryland,0,7,7
23/08/2019,Missouri,1,3,4
23/08/2019,Texas,2,2,4
22/08/2019,South Carolina,2,2,4
22/08/2019,California,0,4,4
20/08/2019,Georgia,0,4,4
18/08/2019,Missouri,0,4,4
